,Project_ID,Image_Name,Distance_to_midline,Analyze,Exclude,Comment,hemisphere(L/R),Qupath_project_path,dataframe_path,ML_type(GT/FP)
0,ProjectQuPath,SLD_0000517.vsi-20x_01,around 2.40mm,True,False,0,right,/gpfs/bbp.cscs.ch/project/proj53/LayerBoundariesProject/Analysis/Nissl_1/01413827_RH_Nissl_1_QuPath/ProjectQuPath_01413827_RH_Nissl_1.qpproj,,
1,ProjectQuPath,SLD_0000736.vsi-20x_01,around 3.40mm,True,False,0,right,/gpfs/bbp.cscs.ch/project/proj53/LayerBoundariesProject/Analysis/Nissl_1/01413827_RH_Nissl_1_QuPath/ProjectQuPath_01413827_RH_Nissl_1.qpproj,,
2,ProjectQuPath,SLD_0000736.vsi-20x_02,around 3.40mm,True,False,0,left,/gpfs/bbp.cscs.ch/project/proj53/LayerBoundariesProject/Analysis/Nissl_1/01413827_RH_Nissl_1_QuPath/ProjectQuPath_01413827_RH_Nissl_1.qpproj,,
3,ProjectQuPath,SLD_0000736.vsi-20x_03,,False,,,,,,
